,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00219279,22.0301392096092,0.786680361381082,0.389288302526803,2.02081685032629,0.0432987278506824,0.0634742000479805,T24D5.11,1.19740276374194
WBGene00008164,2960.62132858902,0.0844729213000387,0.0418031772779026,2.02072968613062,0.043307755030391,0.063481259513088,C47G2.3,1.19735446512202
WBGene00000439,34.510632664927,0.706653609307956,0.349812458736985,2.02009274300682,0.0433737684682657,0.0635718409298102,ceh-16,1.19673521197552
WBGene00007191,26.6418904142653,-0.716703039268294,0.354803684095567,-2.0199988652746,0.0433835052372637,0.0635799294546696,lgc-20,1.19667995829392
WBGene00011107,18.7731249123565,0.864640732874383,0.428052085405974,2.0199428115257,0.043389319875582,0.0635822689563142,R07E3.6,1.19666397818871
WBGene00235313,31.5987136701241,-0.677425602222545,0.335411152223389,-2.0196871741801,0.0434158463209679,0.06361495592456,C25E10.17,1.19644076938419
WBGene00077443,84.8645053907095,0.495513032576548,0.245353562443751,2.01958768253119,0.0434261738668978,0.0636239034502091,Y71A12B.19,1.19637968960021
WBGene00219460,46.2069056948683,-0.587808315611407,0.291177778370362,-2.01872656251861,0.0435156475807223,0.0637487954110436,K09H9.9,1.19552801718859
WBGene00013023,89.1446661450446,-0.391376360061031,0.193901102033701,-2.01843288127886,0.0435461977911073,0.0637873507585383,Y48G10A.6,1.19526543476505
WBGene00008376,19.2599896116347,0.866343414201655,0.429241433491796,2.01831264785909,0.0435587103063024,0.0637994791999704,D1054.9,1.19518286644345
WBGene00007840,251.622588884303,0.23690908426331,0.117450738230698,2.01709319015068,0.0436857891665482,0.0639793917710241,C31C9.6,1.19395989291311
WBGene00014777,25.9459507510418,-0.742647882471465,0.368232577750243,-2.01679027697319,0.0437174040467523,0.0640194725732728,F58A4.12,1.19368790812786
WBGene00003531,18.0350829137679,-0.903874478588402,0.448223176004435,-2.01657238397565,0.0437401573643764,0.0640465700362585,nas-12,1.19350412359631
WBGene00011405,87.5315944630211,-0.415826916054468,0.206371366334314,-2.01494482224265,0.0439104308557248,0.0642896478181972,clec-155,1.19185895331819
WBGene00022366,1903.63097022568,0.107055235289422,0.0531390252573416,2.01462549926302,0.0439439036200946,0.0643324066885864,Y92H12BL.5,1.19157020124969
WBGene00015407,605.668403064858,-0.161331479127443,0.0801285890660187,-2.01340721218141,0.0440718074964062,0.0645133878210479,C03H5.5,1.1903501512023
WBGene00010674,20.7150781117748,-0.814947162363026,0.404792566916397,-2.01324636114511,0.0440887181695915,0.0645318750213879,K08E7.6,1.19022571596196
